,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
507,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically active,54.3,%,1851,1004,58.40%,50.10%,1185
508,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically active,55.7,%,1010,563,60.80%,50.60%,728
509,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically active,49.4,%,177,88,59.50%,39.50%,176
510,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically active,68.1,%,388,264,75.00%,60.20%,339
511,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,45-54,All,Physically active,47.1,%,368,173,55.90%,38.40%,254
512,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,58.6,%,26876,15748,57.80%,59.40%,37699
513,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,59.5,%,23540,14000,60.30%,58.70%,34000
514,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,59.1,%,770,455,63.90%,54.10%,1081
515,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,50,%,911,455,55.50%,44.50%,681
516,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,42.8,%,468,200,49.90%,35.90%,380
517,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,46.3,%,96,45,61.20%,32.10%,117
518,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,54.8,%,164,90,63.60%,45.70%,195
519,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,55-64,All,Physically active,55.9,%,212,118,65.80%,45.60%,199
520,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,55.1,%,24199,1,54.50%,55.80%,37300
521,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,55.7,%,22186,12350,56.40%,55.00%,34739
522,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,56,%,616,345,60.50%,51.40%,852
523,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,38.5,%,478,184,44.50%,32.90%,455
524,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,43.1,%,132,57,55.10%,31.80%,121
525,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,?,%,?,?,?,?,54
526,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,52.7,%,67,35,65.20%,39.80%,84
527,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically active,42.1,%,118,50,53.20%,31.80%,134
528,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,33.4,%,18975,6333,34.30%,32.50%,19429
529,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,33.4,%,17328,5796,34.40%,32.50%,17965
530,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,38.8,%,419,163,45.40%,32.60%,397
531,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,35.7,%,295,105,43.90%,28.30%,219
532,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,?,%,?,?,?,?,107
533,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,?,%,?,?,?,?,14
534,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,?,%,?,?,?,?,39
535,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically active,?,%,?,?,?,?,56
536,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,71,%,67081,47649,71.40%,70.60%,95199
537,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,72.2,%,53943,38925,72.60%,71.70%,80009
538,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,74.2,%,4006,2972,75.70%,72.60%,5493
539,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,59.2,%,4129,2445,61.50%,56.90%,3782
540,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,63.1,%,1192,753,67.10%,59.00%,1222
541,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,61.7,%,524,324,67.10%,56.00%,578
542,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,76.2,%,972,741,79.60%,72.50%,987
543,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically active,62.3,%,609,380,67.60%,56.70%,643
544,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,61.6,%,45926,28284,62.30%,60.90%,45047
545,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,62.4,%,37576,23449,63.10%,61.70%,39178
546,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,62.7,%,2612,1639,65.90%,59.50%,1979
547,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,53.1,%,2553,1356,56.90%,49.40%,1421
548,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,55.5,%,865,480,60.90%,49.90%,579
549,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,49.9,%,265,132,59.20%,40.60%,188
550,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,66.5,%,514,342,72.90%,59.40%,350
551,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically active,58.8,%,445,261,66.90%,50.10%,280
552,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,55.9,%,27886,15583,56.90%,54.90%,18761
553,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,56.8,%,21907,12434,57.90%,55.60%,15748
554,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,54.3,%,1911,1038,58.20%,50.30%,1082
555,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,47.9,%,1945,931,52.80%,42.90%,776
556,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,52.2,%,654,342,59.60%,44.80%,301
557,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,41.9,%,142,59,56.70%,28.30%,77
558,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,68.3,%,322,220,75.90%,59.60%,178
559,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically active,55.1,%,348,192,65.10%,44.80%,156
560,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,50.8,%,7486,3803,53.00%,48.60%,4003
561,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,53.2,%,4542,2415,55.70%,50.60%,2753
562,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,50.6,%,314,159,62.00%,39.20%,160
563,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,45.3,%,1414,641,51.30%,39.50%,546
564,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,47.5,%,420,199,59.00%,36.20%,162
565,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,?,%,?,?,?,?,24
566,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,64.3,%,164,106,76.30%,50.30%,75
567,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically active,51.1,%,252,129,63.80%,38.40%,110
568,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,71.7,%,27202,19512,72.70%,70.70%,14783
569,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,75.2,%,17897,13453,76.30%,74.10%,10510
570,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,76.4,%,1282,979,79.90%,72.40%,737
571,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,64.4,%,3404,2190,68.00%,60.60%,1186
572,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,63,%,1232,776,68.70%,56.90%,476
573,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,59.6,%,412,245,69.30%,49.20%,172
574,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,72.1,%,934,673,77.90%,65.40%,337
575,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically active,59.4,%,574,341,67.70%,50.60%,245
576,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,25.7,%,194622,49963,25.90%,25.40%,196635
577,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,24.7,%,151090,37380,25.00%,24.50%,163434
578,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,23.3,%,11058,2579,24.50%,22.20%,10189
579,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,31.8,%,13713,4367,33.30%,30.50%,8240
580,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,30.1,%,4621,1391,32.50%,27.90%,2996
581,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,29.9,%,1502,450,34.10%,26.10%,1061
582,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,17.9,%,3174,569,20.30%,15.80%,2078
583,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically inactive,30.2,%,2195,664,33.60%,27.00%,1475
584,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,24.4,%,94839,23122,24.80%,24.00%,86635
585,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,23.6,%,72836,17158,24.00%,23.10%,72217
586,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,22.7,%,5304,1206,24.60%,21.00%,4054
587,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,28.2,%,7611,2143,30.20%,26.20%,3945
588,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,29.4,%,2082,612,33.20%,25.90%,1178
589,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,31.6,%,749,236,38.20%,25.60%,420
590,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,17.9,%,1508,269,21.70%,14.60%,797
591,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically inactive,28.9,%,1020,295,34.40%,24.00%,629
592,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,26.8,%,99472,26670,27.20%,26.50%,109741
593,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,25.8,%,78120,20144,26.20%,25.40%,91093
594,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,23.9,%,5743,1370,25.40%,22.30%,6128
595,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,36.4,%,6082,2217,38.50%,34.50%,4284
596,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,30.5,%,2526,771,33.60%,27.60%,1809
597,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,28.3,%,753,213,33.60%,23.60%,640
598,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,18,%,1663,300,20.90%,15.40%,1280
599,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically inactive,31.4,%,619,368,35.80%,27.40%,843
600,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,27.2,%,16767,4559,28.00%,26.40%,22176
601,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,26,%,13895,3611,26.80%,25.20%,19152
602,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,32.3,%,672,217,36.80%,28.10%,821
603,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,31.9,%,1067,340,36.20%,27.80%,872
604,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,29.4,%,214,63,37.60%,22.40%,261
605,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,77
606,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,21.5,%,186,40,31.50%,14.00%,189
607,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically inactive,44.9,%,87,39,58.50%,32.00%,97
608,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,25.4,%,21559,5472,26.10%,24.70%,25806
609,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,25.1,%,17865,4489,25.90%,24.40%,21846
610,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,24,%,1176,283,27.10%,21.20%,1432
611,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,26,%,855,222,30.20%,22.20%,761
612,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,21.1,%,398,84,27.00%,16.30%,352
613,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,26.3,%,105,28,38.00%,17.20%,114
614,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,21.3,%,271,58,28.40%,15.60%,243
615,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically inactive,35.2,%,174,61,47.00%,25.00%,148
616,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,24.8,%,30407,7542,25.70%,24.00%,19497
617,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,21,%,13469,2833,22.10%,20.00%,10250
618,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,22.3,%,4156,927,24.60%,20.20%,2845
619,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,31.8,%,5382,1711,34.40%,29.30%,2363
620,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,30.8,%,2620,808,34.30%,27.60%,1302
621,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,30,%,692,208,37.20%,23.70%,346
622,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,17.2,%,1215,209,21.70%,13.40%,524
623,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically inactive,26.8,%,954,256,32.10%,22.20%,488
624,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,28.1,%,9440,2651,29.40%,26.80%,8958
625,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,27.5,%,8596,2364,28.80%,26.20%,8166
626,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,29.8,%,180,54,39.70%,21.40%,202
627,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,28.1,%,146,41,41.30%,17.80%,135
628,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,34
629,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,47
630,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,63
631,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,54
632,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,26.6,%,25463,6765,27.30%,25.90%,27560
633,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,25.8,%,21363,5505,26.50%,25.00%,23824
634,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,24.2,%,923,223,27.90%,20.80%,953
635,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,33.1,%,1401,464,36.90%,29.50%,1059
636,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,34.9,%,285,99,43.20%,27.40%,260
637,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,34.7,%,132,46,45.60%,25.10%,134
638,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,17.1,%,315,54,23.70%,12.00%,260
639,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically inactive,29.9,%,189,57,39.40%,21.90%,174
640,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,22.7,%,31725,7208,23.30%,22.20%,36345
641,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,21.9,%,26303,5750,22.50%,21.30%,30596
642,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,22.1,%,1854,411,24.60%,19.90%,2142
643,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,33,%,1299,429,36.90%,29.40%,1265
644,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,27.6,%,383,105,33.90%,22.00%,346
645,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,29.8,%,180,54,41.60%,20.20%,172
